Job title,Company name,Date,Location,Skills,Links,Salary,Responsibility
Odoo Developer,Crevisoft Corporation -,1 month ago,"Maadi, Cairo, Egypt",Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · ERP · Information Technology (IT) · Odoo Development · Odoo Modules · Python,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hehnCGkXmBgr-Odoo-Developer-Crevisoft-Corporation-Cairo-Egypt,N/A,N/A
Senior Odoo Developer,Crevisoft Corporation -,1 month ago,"Maadi, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Accounting/Finance · Business Development · IT/Software Development · Computer Science · Python · Software Development · Software Engineering · Programming · Odoo · Odoo ERP,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/uUf1knt9TyGx-Senior-Odoo-Developer-Crevisoft-Corporation-Cairo-Egypt,N/A,N/A
Senior PHP Developer,Confidential -,1 month ago,"Heliopolis, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · developer · Information Technology (IT) · PHP developer · PHP · senior · Software Development · Software Engineering · Python,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ZvJ8KEQnBzpF-Senior-PHP-Developer-Cairo-Egypt,N/A,N/A
DevOps Engineer,34ML -,1 month ago,"Heliopolis, Cairo, Egypt",Full TimeHybridEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · MEAN Stack · Mobile Development · Objective-C · Software Design · Web Development · Web Design,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/c8SZdkAvuePx-DevOps-Engineer-34ML-Cairo-Egypt,N/A,N/A
Senior Data Integration Engineer,e-finance -,1 month ago,"Smart Village, Giza, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · ETL · Integration · Data Integration · Software Engineering · Data Modeling · Database · Python · Software Development,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4PqXRTu3ANU2-Senior-Data-Integration-Engineer-e-finance-Giza-Egypt,N/A,N/A
Python Developer,TradeTracker.com -,30 days ago,"Dubai, United Arab Emirates",Full TimeExperienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g/m9k6oZe381r0-Python-Developer-TradeTracker-com-Dubai-United-Arab-Emirates,N/A,N/A
Data Analyst Team Leader,3Sixty -,2 months ago,"Mohandessin, Giza, Egypt",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AWS · Analysis · Computer Engineering · Azure · Computer Science · Data Analyst · Data Analysis,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/HN6h2CLSlb04-Data-Analyst-Team-Leader-3Sixty-Giza-Egypt,N/A,N/A
Backend Developers/ Full-stack Developers,Confidential -,2 months ago,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Odoo ERP · Python · SQL · PostgreSQL,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/AOdceu9Thy9g-Backend-Developers-Full-stack-Developers-Cairo-Egypt,N/A,N/A
Application Support Senior Supervisor,Aman -,2 months ago,"Maadi, Cairo, Egypt",Full TimeHybridExperienced · 5 - 6 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · application · Python · Linux · SQL · SQL Database · Support · Science,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7wLV254OV0bq-Application-Support-Senior-Supervisor-Aman-Cairo-Egypt,N/A,N/A
Odoo Developer Team Lead,OdooTec -,2 months ago,"New Cairo, Cairo, Egypt",Full TimeOn-siteManager · 5+ Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/N6Qy6fDE8reZ-Odoo-Developer-Team-Lead-OdooTec-Cairo-Egypt,N/A,N/A
Robotics & Scratch Trainer/Teacher (for Kids) - REMOTE,Zawo educate -,2 months ago,"Abdeen, Cairo, Egypt",Full TimePart TimeRemoteExperienced · 1+ Yrs of Exp · IT/Software Development · Education/Teaching · Steam · Robotics · Scratch · Python,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/WFmWOa5Q8Qw7-Robotics-Scratch-TrainerTeacher-for-Kids---REMOTE-Zawo-educate-Cairo-Egypt,N/A,N/A
Data/Business Analyst Intern,kafiil -,3 days ago,"Maadi, Cairo, Egypt",InternshipOn-siteEntry Level · Business Development · IT/Software Development · Analyst/Research · analytical · Analysis · Business Analysis · Data Analysis · is · excel · Python,https://wuzzuf.nethttps://wuzzuf.net/internship/NXl1N6zwtmSd-DataBusiness-Analyst-Intern-kafiil-Cairo-Egypt,N/A,N/A
DevOps Engineer,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,3 days ago,"Alexandria, Egypt",Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Ansible · AWS · Cloud · Computer Science · DevOps · Docker · Information Technology (IT),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/5kmM6y53i9lB-DevOps-Engineer-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt,N/A,N/A
junior ML JD,ysolution -,5 days ago,"Damietta, Egypt",Full TimeRemoteEntry Level · 0 - 3 Yrs of Exp · Engineering - Telecom/Technology · Information Technology (IT) · Python,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ojt8dLVqVjNB-junior-ML-JD-ysolution-Damietta-Egypt,N/A,N/A
Machine Learning Engineer,Softec Technologies -,5 days ago,"Cairo, Egypt",Full TimeOn-siteExperienced · 4 - 8 Yrs of Exp · R&D/Science · IT/Software Development · Artificial Intelligence · Computer Science · Computer Vision · Deep Learning · Engineering · Information Technology (IT) · Java · Machine Learning,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/st9RUfA6MUF5-Machine-Learning-Engineer-Softec-Technologies-Cairo-Egypt,N/A,N/A
Data Modeler,BBI-Consultancy -,6 days ago,"Maadi, Cairo, Egypt",Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Database · Engineering · Information Technology (IT) · Python · SQL,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/tuVCfEqtgptQ-Data-Modeler-BBI-Consultancy-Cairo-Egypt,N/A,N/A
